S. No.,Flo_District,Flo_Name of the Centre,Flo_Address,Flo_Latitude,Flo_Longitude
352,Ganderbal,Animal Farm and  Frozen Semen Project Ranbirbagh Ganderbal,Repora,34.2473975,74.729679152
353,Ganderbal,Intensive Cattle Development Center 	,Tulmulla,34.2201,74.7331
354,Ganderbal,Intensive Cattle Development Tehlipora,Tehlipora,34.192777,74.76777
355,Ganderbal,Frozen Semen Centre Arch,Arch,34.243279,74.770223
356,Ganderbal,Intensive Cattle Development Fatehpora ,Fatehpora,34.197918,74.77700071
357,Ganderbal,Frozen Semen Centre Serch,Serch,34.2435,74.7853
358,Ganderbal,Intensive Cattle Development Center ,Baderkund,34.23401,74.78935
359,Ganderbal,Intensive Cattle Development Center ,Nunnar,34.257675,74.790467
360,Ganderbal,Intensive Cattle Development Malshahibagh,Malshahibagh,34.211995,74.792425
361,Ganderbal,Intensive Cattle Development khalmulla ,KHALMULLA,34.19538,74.81562
362,Ganderbal,Livestock Development Centre Gutlibagh ,Gutlibagh,34.271976,74.822484
363,Ganderbal,Intensive Cattle Development bakura,BAKOORA,34.18725,74.83906
364,Ganderbal,Intensive Cattle Development Center ,Bamloora,34.2012,74.7655
365,Ganderbal,Intensive Cattle Development Gadoora,gadoora,34.176786,74.778469
366,Ganderbal,Intensive Cattle Development Pandach,Pandach,34.191075,74.806303
367,Ganderbal,Sub Unitb unit Sehpora,Sehpora,34.202937,74.725764
368,Ganderbal,Intensive Cattle Development Center ,Saloora,34.210064,74.76635
369,Ganderbal,Tehsil Unit Ganderbal,Duderhama,34.214055,74.771679
370,Ganderbal,Intensive Cattle Development chundani,Chundina,34.180213,74.719462
371,Ganderbal,Sub Unit SHALLABUGH,Shallabugh,34.1672,74.7365
372,Ganderbal,Intensive Cattle Development HAKIMGUND,Hakimgund,34.187154,74.74924
373,Ganderbal ,Veterinary Dispensary Zazuna,Zazuna,34.229249,74.683419
374,Ganderbal ,Intensive Cattle Development Center ,Preng,34.225862,74.760589
375,Ganderbal ,Livestock Development Centre Chatergul,Chattergul,34.190119,74.769227
376,Ganderbal ,Intensive Cattle Development Ganderbal ,Duderhama,34.214055,74.771679
377,Ganderbal ,Intensive Cattle Development Akhal,Akhal,34.214055,74.771679
378,Ganderbal ,Intensive Cattle Development Wussan,Wussan,34.197918,74.77700071
379,Ganderbal ,Frozen Semen Centre Khanan,Khanan,34.214615,74.782717
380,Ganderbal ,Frozen Semen Centre Goripora,Goripora,34.211995,74.792425
381,Ganderbal ,Intensive Cattle Development Anderwan,Anderwan,34.19538,74.81562
382,Ganderbal ,Sub Unit Manigam,Manigan/Haripora,34.18725,74.83906
383,Ganderbal ,Poultry Rearing Space  kangan,Kangan,34.191075,74.806303
384,Ganderbal ,Frozen Semen Centre Chattergul,Chattergul,34.214055,74.771679
385,Ganderbal ,Poultry Rearing Space  Ganderbal,,34.203083,74.705292
386,Ganderbal ,Frozen Semen Centre Kangan,Kangan,34.180213,74.719462
387,Ganderbal ,Tehsil Unit Kangan,Kangan,34.256858,74.662899
388,Ganderbal ,Veterinary Dispensary Batwina,Batwina,34.2151,74.67195
389,Ganderbal ,Intensive Cattle Development Center ,Kachnambal,34.2151,74.67195
390,Ganderbal ,Veterinary Hospital Safapora,Safapora,34.259493,74.681047
391,Ganderbal ,Frozen Semen Centre satrina,Satrina,34.259493,74.681047
392,Ganderbal ,Mobile Dispensary Kullan,Kullan ,34.248703,74.683256
393,Ganderbal ,Intensive Cattle Development Center ,Mamer,34.23019,74.684681
394,Ganderbal ,Intensive Cattle Development Centre Dab,Dab,34.1888772,74.693689
395,Ganderbal ,Sub Unit Gund,Gund Sursing,34.1888772,74.693689
396,Ganderbal ,Veterinary Dispensary Wakura,Wakura,34.208654,74.696029
397,Ganderbal ,Frozen Semen Centre cherwan,Cherwan,34.208654,74.696029
398,Ganderbal ,Intensive Cattle Development ButKulan,Kullan,34.235435,74.701881
399,Ganderbal ,Intensive Cattle Development Centre Kurhama,Kurhama,34.234086,74.708648
400,Ganderbal ,Intensive Cattle Development Kati Wangath ,KatiWangath,34.234086,74.708648
401,Ganderbal ,Veterinary Dispensary Chuntwaliwar,Chuntwaliwar,34.28055,74.749271
402,Ganderbal ,First Aid Centre Thune,Thune,34.28055,74.749271
403,Ganderbal ,Intensive Cattle Development Centre Theeru,Theeru,34.230696,74.751248
404,Ganderbal ,Intensive Cattle Development Center ,Kachnambal,34.230696,74.751248
405,Ganderbal ,Block Veterinary Office Lar,Qasba Lar,34.257031,74.7542076
406,Ganderbal ,Mobile Dispensary Wangath,Wangath,34.257031,74.7542076
407,Ganderbal ,Intensive Cattle Development Centre Repora,Repora,34.250583,74.754453
408,Ganderbal ,Intensive Cattle Development Ninihana ,Hayan Palpora,34.250583,74.754453
409,Ganderbal ,Livestock Development Centre Sub Unitmbal balla,Sumbal Bala,34.252163,74.761701
410,Ganderbal ,Intensive Cattle Development Centre Watlar,Watlar,34.2672074,74.764835
411,Ganderbal ,Livestock Development Centre yachahama ,Yachama,34.2672074,74.764835
412,Ganderbal ,Intensive Cattle Development Centre Manigam,Manigam,34.281533,74.798857
413,Ganderbal ,Sub Unit Hariganiwan ,Hariganiwan,34.281533,74.798857
414,Kulgam,Intensive Cattle Development KBPORA,KBPORA,33.3744,74.5538
415,Kulgam,Gujjar Backarwal Centre NANDIMARG,NANDIMARG,33.3358,74.5621
416,Kulgam,Sub UnitBUNIT DHPORA,DHPORA,33.6073,74.8844
417,Kulgam,Intensive Cattle Development Nehama ,Nehama,33.635441,74.896725
418,Kulgam,Intensive Cattle Development Gopalpora,Gopal Pora,33.640438,74.924532
419,Kulgam,Intensive Cattle Development Gopalpora,Gopalpora,33.640438,74.924532
420,Kulgam,Poultry Rearing Space  Kourserbal,Kouserbal,33.598129,74.933029
421,Kulgam,Intensive Cattle Development Nillow,Nillow,33.662078,74.952843
422,Kulgam,Intensive Cattle Development Arreh,         Arreh,33.678548,74.962202
423,Kulgam,Intensive Cattle Development Mirhama,Mirhama,33.644301,74.964479
424,Kulgam,Intensive Cattle Development Behibagh,   Behibagh,33.704668,74.964841
425,Kulgam,Veterinary Dispensary MUNAD,Munad,33.757021,74.965262
426,Kulgam,Gujjar Backarwal Centre DK MARG,,33.56538046,74.98113784
427,Kulgam,Gujjar Backarwal Centre DK MARG,DK marg,33.56538046,74.98113784
428,Kulgam,Intensive Cattle Development Katrsoo ,       Katrusoo,33.67901,74.986908
429,Kulgam,Intensive Cattle Development Chowlgam,Chowalgam,33.651355,74.991276
430,Kulgam,Intensive Cattle Development KADDER,         Kadder,33.6996,74.9925
431,Kulgam,Intensive Cattle Development chambgund,Chambgund,33.6448,75.015
432,Kulgam,Intensive Cattle Development YARIPORA,Yaripora ,33.715952,75.0166
433,Kulgam,Disease Investigation Labaratory ,Kulgam,33.642793,75.0178512
434,Kulgam,Intensive Cattle Development Kulgam,Kulgam,33.643344,75.018566
435,Kulgam,Intensive Cattle Development Kulgam,Kulgam,33.643344,75.018566
436,Kulgam,Tehsil Unit Kulgam/DVH Kulgam ,Kulgam,33.64313775,75.018593
437,Kulgam,Tehsil Unit Kulgam,Kulgam,33.64313775,75.018593
438,Kulgam,Gujjar Backarwal Centre Malwan,Malwan,33.599,75.022
439,Kulgam,Gujjar Backarwal Centre Malwan,Malwan,33.599,75.022
440,Kulgam,Mobile Dispensary BADIJAHALAN,badijihallan,33.549246,75.023481
441,Kulgam,Intensive Cattle Development Centre Bugam,Bugam,33.686175,75.023751
442,Kulgam,Intensive Cattle Development BUGAM,       Bugam,33.687965,75.0247
443,Kulgam,Intensive Cattle Development TARIGAM ,Tarigam Devsar,33.707018,75.034657
444,Kulgam,Intensive Cattle Development FRISAL ,Frisal,33.759344,75.040854
445,Kulgam,First Aid Centre SHIRPORA,Shirpora,33.768525,75.049031
446,Kulgam,Intensive Cattle Development BOGUND ,Bogund,33.686788,75.053358
447,Kulgam,Intensive Cattle Development ASHMUJI ,Ashmuji,33.676801,75.054599
448,Kulgam,Intensive Cattle Development ARWANI ,Arwani ,33.784184,75.065308
449,Kulgam,Frozen Semen Centre HOWRA,Hawoora,33.730674,75.065798
450,Kulgam,Gujjar Backarwal Centre Lammer,Lammer,33.588094,75.077695
451,Kulgam,Intensive Cattle Development QAIMOH ,Qaimoh ,33.7159092,75.0815541
452,Kulgam,Intensive Cattle Development Devsar,MC Devsar ,33.632162,75.084638
453,Kulgam,Intensive Cattle Development Kilam ,Kilam ,33.654663,75.085262
454,Kulgam,Intensive Cattle Development sopat,Sopat ,33.632988,75.101656
455,Kulgam,First Aid Centre Hablish ,Hablish,33.659755,75.102272
456,Kulgam,Gujjar Backarwal Centre KUND,CHECK I WAZOO/WARIPORA,33.570249,75.122977
457,Kulgam,Intensive Cattle Development Chowgam ,Chowgam ,33.622852,75.124141
458,Kulgam ,VAS/GBC Manzgam ,Manzgam ,33.6208,74.8601
459,Kulgam ,GBC Tangmarag ,Tangmarag ,33.6279,74.897
460,Kupwara,First Aid Centre Teetwal,Tetwall,34.401651,73.781758
461,Kupwara,Livestock Development Center Chitterkote,Chetterkote,34.373152,73.797609
462,Kupwara,Livestock Development Center Taad,Tadd,34.354761,73.818932
463,Kupwara,Tehsil Unit Kandi,Kandi,34.394897,73.839653
464,Kupwara,First Aid Centre Khawarpara,Khowarpara.,34.387706,73.848971
465,Kupwara,First Aid Centre Gabra,Gabra,34.364286,73.849441
466,Kupwara,First Aid Centre Naichian,Nachian,34.393984,73.879808
467,Kupwara,Sub Unitb Unit Budinamal,budinumbal,34.492982,73.995675
468,Kupwara,Sub Unitb Unit Chokibal,chowkibal,34.473321,74.052155
469,Kupwara,First Aid Centre Pathroo,pathroo,34.551167,74.076923
470,Kupwara,Frozen Semen Centre Panzgam,panzgam,34.483619,74.07707
471,Kupwara,Intensive Cattle Development Harie,harie,34.525163,74.087719
472,Kupwara,Frozen Semen Centre Meelyal,meelyal,34.537994,74.08988
473,Kupwara,First Aid Centre Kachama,kachama,34.545076,74.095544
474,Kupwara,Intensive Cattle Development Sherkote,sherkote,34.469004,74.102123
475,Kupwara,Sub Unitb Unit Kralpora,kralpora,34.496112,74.109048
476,Kupwara,First Aid Centre Jumgand,JUMGUND,34.637367,74.11986
477,Kupwara,Frozen Semen Centre DardSub Unitb Unitn,dardsun,34.5121,74.125592
478,Kupwara,Intensive Cattle Development Shaloora,sholoora,34.490012,74.129225
479,Kupwara,Frozen Semen Centre Wadder,wadder payeen,34.378836,74.137759
480,Kupwara,Frozen Semen Centre Lilam,lilam,34.456872,74.138543
481,Kupwara,Sub Unitb Unit Keran,keran,34.75,74.14
482,Kupwara,Sub Unitb Unit Villagam,villigam,34.478894,74.142217
483,Kupwara,Intensive Cattle Development Punzwa,punzwa,34.479233,74.166009
484,Kupwara,Block Veterinary Officer Trehgam,Trehgam (CT),34.516528,74.167714
485,Kupwara,Frozen Semen Centre Rajpora,Rajpora,34.402516,74.172837
486,Kupwara,Intensive Cattle Development Kawari,Kawa Wari,34.553826,74.183178
487,Kupwara,First Aid Centre Awoora,Auwoora,34.5565633,74.1861221
488,Kupwara,Intensive Cattle Development Zachaldara,Zachaldara,34.402293,74.197272
489,Kupwara,Frozen Semen Centre Mawar,Mawar,34.346566,74.199716
490,Kupwara,Intensive Cattle Development Batergam,Batter Gam,34.529905,74.217348
491,Kupwara,Intensive Cattle Development Karihama,karihama,34.50731,74.220318
492,Kupwara,Intensive Cattle Development Magam,Lone Mohalla magam,34.457382,74.230648
493,Kupwara,Intensive Cattle Development Wadipora,Wadipora,34.409067,74.235615
494,Kupwara,sub unit batpora,batpora,34.598755,74.241399
495,Kupwara,Intensive Cattle Development Shartgundbala,Shatgund,34.337851,74.242568
496,Kupwara,Frozen Semen Centre Badrehere,baderher,34.381308,74.24873
497,Kupwara,Intensive Cattle Development Ashpora,Ashpora,34.319645,74.255625
498,Kupwara,District Veterinary Hospital Kupwara,Sulkoot Kupwara,34.533322,74.258094
499,Kupwara,Intensive Cattle Development Batapora,Dar Mohalla,34.445312,74.262499
500,Kupwara,Intensive Cattle Development Shahlal,Jamia Masjid,34.432335,74.263184
501,Kupwara,Intensive Cattle Development halmatpora,halmatpora,34.475329,74.26354
502,Kupwara,Intensive Cattle Development Nagri,Nagri,34.475329,74.26354
503,Kupwara,Frozen Semen Centre Hatmulla,Hatmulla,34.493523,74.264334
504,Kupwara,Frozen Semen Centre manzhar,manzhar,34.57007,74.265017
505,Kupwara,Intensive Cattle Development Maratgam,MARATGAM,34.376711,74.281916
506,Kupwara,Intensive Cattle Development Drugmulla,Drugmulla,34.488881,74.282699
507,Kupwara,LDO complex at Sheep Husbandry,jamia qadeem,34.396556,74.288182
508,Kupwara,Intensive Cattle Development Handwara,Handwara,34.396315,74.288259
509,Kupwara,Intensive Cattle Development Shumnag,Shumnnag,34.501251,74.2909722222222
510,Kupwara,Intensive Cattle Development Armpora,Arampora,34.459206,74.291105
511,Kupwara,Intensive Cattle Development Langate,Langate,34.377827,74.309646
512,Kupwara,Khumriyal,KHUMRIYAL,34.5448302,74.313493
513,Kupwara,Intensive Cattle Development Chogul,Maidan Chogal,34.406474,74.316644
514,Kupwara,Nagsari,NAGSARI,34.54,74.32
515,Kupwara,Kalaroose,KALAROOSE,34.573156,74.32
516,Kupwara,Frozen Semen Centre Rawalpora,Rawalpora,34.340162,74.322817
517,Kupwara,mobile unit lashdat,lashdat,34.467526,74.325655
518,Kupwara,Intensive Cattle Development Keegam,Keegam,34.467526,74.325655
519,Kupwara,Sub Unitb Unit Kandi,kandi khas.,34.454645,74.331043
520,Kupwara,Intensive Cattle Development Udipora,Udipora,34.373787,74.333269
521,Kupwara,Walkul,WALKUL,34.546095,74.338072
522,Kupwara,Intensive Cattle Development Deedarpora,deedarpora,34.330241,74.342451
523,Kupwara,Intensive Cattle Development Phorupeth,Pohrupet,34.392614,74.347933
524,Kupwara,Intensive Cattle Development Sub Unitb Unitpernaghma,Supernaghama,34.356522,74.34989
525,Kupwara,Khodi,KHODI,34.545822,74.35939
526,Kupwara,Wavoora,WAVOORA,34.5366149,74.37139244
527,Kupwara,Intensive Cattle Development Unisoo,Unisoo,34.378274,74.372422
528,Kupwara,Gogal,GOGAL,34.4973,74.38
529,Kupwara,Krusan,KRUSAN,34.4973,74.38
530,Kupwara,Chandigam,CHANDIGAM,34.478361,74.385368
531,Kupwara,Sogam,SOGAM,34.4973,74.39
532,Kupwara,Doniwari,DONIWARI,34.4973,74.39
533,Kupwara,Kanipora,KANIPORA,34.4973,74.39
534,Kupwara,Ring,RING,34.4973,74.39
535,Kupwara,Chauntiwari,CHAUNTIWARI,34.53,74.39
536,Kupwara,Sub Unitb Unit Machil,MACHIL,34.531853,74.39
537,Kupwara,Dappal,DAPPAL,34.5373,74.39
538,Kupwara,Maidanpora,MAIDANPORA,34.54007873,74.395968
539,Kupwara,Kuligam,KULIGAM,34.543843,74.423579
540,Kupwara,Takipora,TAKIPORA,34.467423,74.425548
541,Kupwara,Lalpora,Lalpora,34.504922,74.426366
542,Kupwara,Muqam,MUQAM,34.49273601,74.4296935
543,Kupwara,Khurhama,KHURHAMA,34.538057,74.449897
544,Kupwara,Dever,DEVER,34.46024,74.450477
545,Kupwara,Warnow,WARNOW,34.564411,74.460805
546,Pulwama,Kehroot Behak,Sangerwani,33.774505,74.688255
547,Pulwama,Gujjar Backarwal Centre Sangerwani,Sangerwani,33.791764,74.711536
548,Pulwama,Livestock Developmenmt Centre Abhama,Abhama,33.797693,74.743265
549,Pulwama,Frozen Semen Centre khaigam,khaigam,33.814184,74.751913
550,Pulwama,Veterinary Dispenmsary kamrazipora,kamrazipora,33.833366,74.802968
551,Pulwama,Frozen Semen Centre Qasbayar,Qasbayar,33.808218,74.810209
552,Pulwama,Frozen Semen Centre Drabgam,Drabgam,33.823614,74.81618
553,Pulwama,Frozen Semen Centre Rahmoo,Rahmoo,33.853364,74.828103
554,Pulwama,Intensive Cattle Development Kalampora,Kalampora,33.796663,74.829885
555,Pulwama,Intensive Cattle Development Gusoo,Gusoo,33.878093,74.838833
556,Pulwama,Intensive Cattle Development Zagigam,Zagigam,33.851021,74.840296
557,Pulwama,Intensive Cattle Development Rajpora,RAJPORA,33.819784,74.854033
558,Pulwama,Poultry Rearing Space  Rajpora,RAJPORA,33.815023,74.854916
559,Pulwama,Intensive Cattle Development Murran,Murran,33.865352,74.862226
560,Pulwama,Intensive Cattle Development Hawal,HAWAL,33.808848,74.863248
561,Pulwama,Intensive Cattle Development Zadoora,Zadoora,33.907819,74.865863
562,Pulwama,Intensive Cattle Development Tikken,Tikken,33.84542,74.870815
563,Pulwama,Intensive Cattle Development Centre Parigam,parigam,33.947636,74.878519
564,Pulwama,Veterianry Dispensary Karimabad,karimabad,33.895934,74.880301
565,Pulwama,Intensive Cattle Development center Newa,newa,33.924711,74.884738
566,Pulwama,Intensive Cattle Development Nihama,nihama,33.97221,74.885711
567,Pulwama,Intensive Cattle Development Bandzoo,Bandzoo,33.841315,74.890732
568,Pulwama,Intensive Cattle Development Arihal,Arihal,33.813102,74.892834
569,Pulwama,Intensive Cattle Development Indir,inder,33.907414,74.898736
570,Pulwama,Intensive Cattle Development Hakripora,hakripora,33.92968,74.90109
571,Pulwama,Block Veterinary Officer Pulwama/ Intensive Cattle Development Pulwama,PULWAMA,33.872643,74.902104
572,Pulwama,BVO Office/ Intensive Cattle Development Pampore,Kadlabal A ward 13,34.016328,74.912427
573,Pulwama,Intensive Cattle Development PINGLINA,pinglina,33.904625,74.925475
574,Pulwama,Intensive Cattle Development MUGHALPORA,Mughalpora,33.862098,74.927174
575,Pulwama,Intensive Cattle Development SAMBOORA,Samboora,33.957354,74.928002
576,Pulwama,Intensive Cattle Development TAHAB,Tahab,33.833169,74.930104
577,Pulwama,Block Veterinary Officer Kakapora,kakapora,33.94434,74.93019
578,Pulwama,Poultry Rearing Space  kakapora,Kakapora,33.94434,74.93019
579,Pulwama,Intensive Cattle Development Ratnipora,ratnipora,33.922537,74.936804
580,Pulwama,Intensive Cattle Development TALANGAM,talangam,33.884285,74.937634
581,Pulwama,Intensive Cattle Development LASSIPORA,Lassipora,33.813473,74.943847
582,Pulwama,Frozen Semen Centre Chandhara,Chandhara ,33.986367,74.948087
583,Pulwama,Veterinary Dispensary KONIBAL,Konibal ,34.007042,74.948732
584,Pulwama,Intensive Cattle Development Koil,Koil,33.879202,74.950399
585,Pulwama,Intensive Cattle Development Lajoora,lajoora,33.901604,74.957655
586,Pulwama,Intensive Cattle Development PUCHAL,puchal,33.9124511,74.9635641
587,Pulwama,Intensive Cattle Development Achan,Achan,33.805055,74.965773
588,Pulwama,Intensive Cattle Development LETHPORA,Lethpora,33.961702,74.968226
589,Pulwama,Intensive Cattle Development WOYAN,Woyan,34.021377,74.971573
590,Pulwama,Intensive Cattle Development Banderpora,Banderpora ,33.86397872,74.97724211
591,Pulwama,Intensive Cattle Development Wasoora,Wasoora,33.834119,74.978046
592,Pulwama,Intensive Cattle Development GORIPORA,goripora,33.946662,74.978099
593,Pulwama,Intensive Cattle Development Malangpora,Malangpora,33.892236,74.980238
594,Pulwama,Intensive Cattle Development BARSOO,Barsoo,33.949084,74.990794
595,Pulwama,Intensive Cattle Development LADHOO,Ladhoo,33.99858,74.993449
596,Pulwama,Intensive Cattle Development PADGHAMPORA,padgampora,33.9094939,74.9979021
597,Pulwama,Intensive Cattle Development Litter,Litter,33.812997,74.999596
598,Pulwama,Intensive Cattle Development Khrew,Ward 3,34.01882,75.000689
599,Pulwama,Intensive Cattle Development Beighpora,Beighpora,33.879574,75.007394
600,Pulwama,Intensive Cattle Development Chakoora,Chakoora,33.831794,75.012862
601,Pulwama,Intensive Cattle Development Awantipora,ward 7,33.921963,75.013519
602,Pulwama,Intensive Cattle Development PANZGAM,Panzgam,33.845598,75.028262
603,Pulwama,Intensive Cattle Development charsoo,Chursoo,33.879178,75.031418
604,Pulwama,Intensive Cattle Development ZANTRAG,Zantrag ,34.057501,75.033011
605,Pulwama,Intensive Cattle Development Noorpora,Noorpora,33.900965,75.040181
606,Pulwama,Veterianry Dispensary K.Koot,K Koot,33.861225,75.051306
607,Pulwama,Intensive Cattle Development Midoora,Midoora,33.932391,75.062993
608,Pulwama,Intensive Cattle Development Hari Parigam,Hariparigam,33.874535,75.068253
609,Pulwama,Intensive Cattle Development Amlar,Amlar,33.889141,75.072928
610,Pulwama,Frozen Semen Centre Aripal,Aripal,34.021133,75.075101
611,Pulwama,Sub Unit Satoora,Satoora,34.041517,75.076142
612,Pulwama,Nagberan Behak,Nagaberan,34.113364,75.082097
613,Pulwama,Intensive Cattle Development Dadsara,Dadsara,33.905144,75.084773
614,Pulwama,Frozen Semen Centre Lurgam,Lurgam,33.969138,75.091592
615,Pulwama,Veterianry Dispensary Batagund,Batagund,33.960373,75.097797
616,Pulwama,Intensive Cattle Development Amirabad,Amirabad,33.912471,75.104976
617,Pulwama,Intensive Cattle Development Diver,Diver,33.945089,75.11002
618,Pulwama,Intensive Cattle Development RathSuna,Rathsuna,33.904001,75.116044
619,Pulwama,Poultry Rearing Space  Tral,Tral,33.925544,75.119328
620,Pulwama,Tehsil Unit tral,Tral,33.925544,75.119328
621,Pulwama,Intensive Cattle Development tral,Tral,33.925791,75.120561
622,Pulwama,Intensive Cattle Development Shikargah,Shikargah,33.907357,75.126626
623,Pulwama,Intensive Cattle Development Chewa,Chewaullar,33.938504,75.147582
624,Pulwama,First Aid Centre Khalil,Lalpora,33.961914,75.151802
625,Pulwama,Frozen Semen Centre Bathnoor,Bathnoor,33.935707,75.179892
626,Shopian,Livestock Development Center HERPORA,Hirpora,33.674495,74.722897
627,Shopian,Livestock Development Center Keller,Keller,33.776244,74.758593
628,Shopian,VD K.PATHRI ,K-Pathri,33.691978,74.77381
629,Shopian,Gujjar Backarwal Centre Gatipora,Gatipora,33.752232,74.780537
630,Shopian,Gujjar Backarwal Centre-SEDOW ,Sedow,33.668006,74.786443
631,Shopian,Veterinary Dispensary Moshwara ,Moshwara,33.766231,74.792084
632,Shopian,Livestock Development Center Zawoora,Zawoora,33.73718,74.813277
633,Shopian,Intensive Cattle Development Berthipora ,Berthipora,33.772272,74.818324
634,Shopian,Veterinary Dispensary SAIDPORA ,Saidpora,33.6851101,74.824276
635,Shopian,Tehsil Unit Shopian,Shopian,33.719496,74.833085
636,Shopian,Disease Investigation Laboratory. Shopian,Shopian,33.719496,74.833085
637,Shopian,Intensive Cattle Development Shopian,Shopian,33.719497,74.833094
638,Shopian,Intensive Cattle Development Meemandar ,Meemender,33.705367,74.840653
639,Shopian,Intensive Cattle Development SHIRMAL,Shirmal,33.763439,74.845279
640,Shopian,PP Shirmal,Shirmal,33.756576,74.845869
641,Shopian,PP Shirmal,Shirmal,33.756576,74.845869
642,Shopian,PP Shirmal,Shirmal,33.756576,74.845869
643,Shopian,Intensive Cattle Development- RAMNAGRI ,Ramnagri,33.67206,74.84651
644,Shopian,Intensive Cattle Development PINJOORA,Pinjora,33.736925,74.85339
645,Shopian,Intensive Cattle Development Vehil,Vehil,33.68556,74.861613
646,Shopian,Intensive Cattle Development TUKROO ,Tukroo,33.776174,74.862953
647,Shopian,Intensive Cattle Development Kachdoora ,Kachdora,33.679584,74.882612
648,Shopian,Frozen Semen Centre bemnipora ,Bemnipora,33.693491,74.882923
649,Shopian,Intensive Cattle Development Kundallan,Kundallan,33.706312,74.884856
650,Shopian,Intensive Cattle Development TRENZ,Trenz,33.765394,74.888905
651,Shopian,Frozen Semen Centre AHGAM,Ahgam,33.78838,74.89695
652,Shopian,Intensive Cattle Development Kapren,Kapren,33.657127,74.897348
653,Shopian,Intensive Cattle Development Nadigam,Nadigam,33.755732,74.901695
654,Shopian,Intensive Cattle Development DKPORA,D.K.Pora,33.745206,74.912224
655,Shopian,Intensive Cattle Development CHAKOORA,Chakoora,33.709726,74.918903
656,Shopian,Intensive Cattle Development T-wangam,T-wangam,33.783,74.93
657,Shopian,Intensive Cattle Development HERMAIN,Hermain,33.7076576,74.9338283
658,Shopian,Intensive Cattle Development imamsahib,Imamsahib,33.721718,74.941123
659,Shopian,Intensive Cattle Development Centre Nagbal,Nagbal,33.769466,74.946268
660,Shopian,Intensive Cattle Development Sugan,Sugan,33.786,74.953
661,Shopian,Intensive Cattle Development centre chitragam,Chitragam,33.768551,74.978136
662,Shopian,Sub Unit Zainapora ,Zainapora,33.7799,75.0079
663,Shopian,Intensive Cattle Development Zainapora,Zainapora,33.809551,75.03543
664,Shopian,VHCS MELHURA,Melhura,33.8111152,75.0594719
665,Shopian,Intensive Cattle Development awneera ,Awneera,33.762,75.2059
666,Srinagar,Intensive Cattle Development Zewan,Zewan,34.23985,74.54272
667,Srinagar,Sub Unit Mujgund,Mujigund,34.131797,74.709381
668,Srinagar,Sub Unit Bakshipora,Bakshipora,34.13302,74.72722
669,Srinagar,Frozen Semen Centre Zainakote,Zainakote,34.10568,74.72915
670,Srinagar,Frozen Semen Centre Gund Hassi Bhat,Gundihassibhat,34.09299,74.73279
671,Srinagar,Intensive Cattle Development Kreshbal,Krshbal,34.13416,74.73608
672,Srinagar,Intensive Cattle Development Parimpora,Parimpora,34.10479,74.75936
673,Srinagar,Intensive Cattle Development Palpora,Palpora,34.10964,74.76608
674,Srinagar,Intensive Cattle Development HYDERPORA,Hyderpora,34.043992,74.77991
675,Srinagar,Intensive Cattle Development Noorbagh,Noorbagh,34.100371,74.779987
676,Srinagar,Frozen Semen Centre Saidapora,Saidapora,34.11948,74.7829
677,Srinagar,Intensive Cattle Development Batamaloo,Batamaloo,34.06075,74.786918
678,Srinagar,Intensive Cattle Development BARZULLA,Barzulla,34.050035,74.794079
679,Srinagar,Intensive Cattle Development Anchar,Anchar,34.14394,74.79757
680,Srinagar,Intensive Cattle Development RAWALPORA,Rawalpora,34.014748,74.800922
681,Srinagar,Sub Unit Buchpora,Buchpora,34.15665,74.80358
682,Srinagar,Sub Unit Nowhatta,Nowhatta,34.105874,74.808584
683,Srinagar,Intensive Cattle Development Nowshera,Nowshera,34.128158,74.810759
684,Srinagar,Intensive Cattle Development Gulabagh,Gulabagah,34.180394,74.818072
685,Srinagar,Intensive Cattle Development NOWGAM,Nowgam,34.032786,74.820163
686,Srinagar,Intensive Cattle Development Mallabagh,Malabagh,34.14785,74.82019
687,Srinagar,Intensive Cattle Development B.T Mohalla,B.T Mohalla,34.14009,74.82034
688,Srinagar,Intensive Cattle Development Rainawari,Rainawai,34.106739,74.828642
689,Srinagar,Intensive Cattle Development Zakura,Zakoora,34.154944,74.829714
690,Srinagar,Intensive Cattle Development KP BAGH,K.P. Bagh,34.051633,74.830476
691,Srinagar,Intensive Cattle Development Habak,Habak,34.146635,74.83993
692,Srinagar,Sub Unit Sonwar,Sonwar,34.06241,74.84295
693,Srinagar,Intensive Cattle Development Batapora,Batapora,34.162043,74.846513
694,Srinagar,Intensive Cattle Development Habak Homhair,Habak,34.152184,74.852168
695,Srinagar,Intensive Cattle Development Mir Behri,Mir Behri,34.111564,74.854497
696,Srinagar,SUB UNIT LASJAN,Lasjan,34.040087,74.866147
697,Srinagar,Intensive Cattle Development Shalimar,Shalimar,34.151772,74.872098
698,Srinagar,Intensive Cattle Development Chatterhama,Chatterhama,34.18106,74.874895
699,Srinagar,Sub Unit Mulphak,Mulphak,34.167253,74.877211
700,Srinagar,Intensive Cattle Development Brein,Brein,34.10658,74.88093
701,Srinagar,Intensive Cattle Development New Theed,New Theed,34.165908,74.910295
702,Srinagar,Intensive Cattle Development Dara,Dara,34.180904,74.911911
703,Srinagar,Intensive Cattle Development Zawoora,Zawoora,34.04813,74.92063
704,Srinagar,Intensive Cattle Development Balhama,Balhama,34.03362,74.94485
705,Srinagar,Sub Unit Khonmoh,Khonmoh,34.05746,74.95275
